Index,Label,Sentence
0,0,"저 박성훈씨가 근무하는 건설 회사에서 왔습니다.
1,0,천안 아라리오 광장에서 노랫소리가 들리던 것은.
2,0,천장에서 나는 소리는 계속되고 있었다.
3,0,이게 이 학교 교사들의 입에서 나오는 소리다.
4,0,아래에서 위로 향하는 것은 그것뿐일 겁니다.
5,0,언덕에서 산쪽으로 외줄기 길이 하나 나 있었다.
6,0,어미벌은 몇 센티미터 가량 그곳에서 떨어질 뿐이다.
7,0,탈곡 곡식의 이삭에서 낟알을 떨어 내는 일.
8,0,그리고 각 칸에 양 진영에서 각각 1명씩이 들어간다.
9,0,구름은 저 폴란드의 평야에서 가져오거라.
10,0,집에서 사람들 몇이 뛰어나왔다.
11,0,동경대학 조도전대학 도서관에서 매일을 보냈다.
12,0,하나에서 열까지 자기네 검열을 받으라는 거죠.
13,0,이들이 지배계급 하층에서 분화되어 나온 계층이다.
14,0,비슷한 나이에서 오는 수나로움일 터였다.
15,0,태양 복사 에너지 태양에서 내어놓는 에너지.
16,0,그도 역시 부두에서 돌아오는 모양이다.
17,0,언니 은주 씨는 다음날 오전에나 목포에서 돌아올 것이었다.
18,0,그러나 배삼룡 분장의 하이라이트는 실수에서 나왔다.
19,0,이것은 다음과 같은 원리에서 가능하다.
20,0,이런 상품재분배에서 수장은 중요한 역할을 한다.
21,0,그들은 무슨 환경운동단체에서 왔다고 했다.
22,0,"예전에 인천에서 새우젓 배가 마포강으로 들어왔답니다.
23,0,TV에 대한 과신은 이런 착각에서 시작된다.
24,0,바람은 갑자기 반대편에서도 친다.
25,0,그녀는 주머니에서 유인물 몇 장을 꺼내어주었다.
26,0,얼마 전에 어느 방송국에서 전화가 왔다.
27,0,물론 안내실 쪽에서 들려 오는 소리였다.
28,0,학교에서 오는 길이었다.
29,0,안쪽에서 바깥쪽으로 스프링을 그리는 엄마의 리드미컬한 손놀림.
30,0,그 소리는 절실함에서 우러나오는 것이었다.
31,0,돈화는 연길에서 북서쪽으로 160km 떨어져 있는 도시이다.
32,0,두번째 호출은 12층에서 왔다.
33,0,즉 그 나이 30대에서 40대에 걸친 세대들이다.
34,0,까쭈샤와 마지막 면회를 하는 것은 바로 이런 문맥에서다.
35,0,개념 민주주의가 고대 그리스에서 유래했다는 것은 상식에 속한다.
36,0,남자는 생수통을 어깨에서 내려놓는다.
37,0,오반장은 자리에서 일어났다.
38,0,그리고 불안증 신경피로 등에서 오는 우울증도 해소시켜준다.
39,0,그것은 주로 어머니의 성격과 생활에서 오는 것이다.
40,0,외부에 의미가 없다는 전제하에서 철학이 시작된다.
41,0,일정하다는 것은 과정 자체의 성질에서 온다.
42,0,'한 장승'에서 '줄 장승'을 본다.
43,0,논쟁하는 과정에서는 나이를 따지지 않습니다.
44,0,순천시에서 낙안까지 시내버스가 있다.
45,0,준태가 발목에서 회칼을 꺼내들었다.
46,0,아무리 자기 나라지만 모슬은 바그다드에서 천 킬로보다 더 멀리 있다.
47,0,궁극적으로 오늘의 희망과 위험은 과학 기술의 생산력에서 온다.
48,0,후에에서 하노이를 향하는 야간특급열차의 침대칸은 깨끗하다.
